id,special_area_name,special_area_id,category,density
area_plan_67,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_68,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_69,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_70,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_71,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_72,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_73,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_74,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_75,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_76,NA,NA,Tourist_Accommodation_Density,20 units per acre if less than 10% have kitchens
area_plan_77,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_78,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_79,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_80,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_81,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_82,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_83,NA,NA,Tourist_Accommodation_Density,40 units per acre
area_plan_84,NA,NA,Tourist_Accommodation_Density,40 units per acre
area_plan_85,NA,NA,Tourist_Accommodation_Density,40 units per acre
area_plan_86,NA,NA,Tourist_Accommodation_Density,40 units per acre
area_plan_87,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_88,NA,NA,Tourist_Accommodation_Density,NA
area_plan_89,NA,NA,Tourist_Accommodation_Density,40 units per acre
area_plan_90,NA,NA,Tourist_Accommodation_Density,40 units per acre
area_plan_91,NA,NA,Tourist_Accommodation_Density,40 units per acre
area_plan_92,NA,NA,Tourist_Accommodation_Density,40 units per acre
area_plan_93,NA,NA,Tourist_Accommodation_Density,40 units per acre
area_plan_94,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_95,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_96,NA,NA,Tourist_Accommodation_Density,40 units per acre
area_plan_97,NA,NA,Tourist_Accommodation_Density,40 units per acre
area_plan_98,NA,NA,Tourist_Accommodation_Density,40 units per acre
area_plan_99,NA,NA,Tourist_Accommodation_Density,40 units per acre
area_plan_100,NA,NA,Tourist_Accommodation_Density,40 units per acre
area_plan_1,NA,NA,Bed_Breakfast_Density,10 units per acre
area_plan_2,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_3,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_4,NA,NA,Bed_Breakfast_Density,10 units per acre
area_plan_5,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_6,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_7,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_8,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_9,NA,NA,Bed_Breakfast_Density,10 units per acre
area_plan_10,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_11,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_12,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_13,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_14,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_15,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_16,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_17,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_18,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_19,NA,NA,Bed_Breakfast_Density,10 units per acre
area_plan_20,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_21,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_22,NA,NA,Bed_Breakfast_Density,Na
area_plan_23,NA,NA,Bed_Breakfast_Density,40 units per acre
area_plan_24,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_25,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_26,NA,NA,Bed_Breakfast_Density,40 units per acre
area_plan_27,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_28,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_29,NA,NA,Bed_Breakfast_Density, 
area_plan_30,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_31,NA,NA,Bed_Breakfast_Density,10 units per acre
area_plan_32,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_33,NA,NA,Bed_Breakfast_Density,See Homewood Master Plan
area_plan_34,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_35,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_36,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_37,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_38,NA,NA,Bed_Breakfast_Density,10 units per acre
area_plan_39,LAKE FOREST COMMERCIAL SA #1-COM/PS,1,Bed_Breakfast_Density,NA
area_plan_40,LAKE FOREST COMMERCIAL SA #2-COM/PS,2,Bed_Breakfast_Density,NA
area_plan_41,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_42,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_43,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_44,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_45,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_46,MARTIS PEAK SA #1-CONS,1,Bed_Breakfast_Density,NA
area_plan_47,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_48,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_49,NA,NA,Bed_Breakfast_Density,"NA"
area_plan_50,NA,NA,Bed_Breakfast_Density,40 units per acre
area_plan_51,NA,NA,Bed_Breakfast_Density,40 units per acre
